,y,P,Unnamed: 2,y (cm) - actual,U (m/s),U/Uinf,eta,Ubratio,Kb,Interpolated K Values
0,13.4,2.9,,0.02,2.209,0.368,0.303,0.10054,0.27321,0.27188
1,13.5,9.0,,0.12,3.891,0.648,1.816,0.57718,0.89071,1.08135
2,13.6,11.1,,0.22,4.321,0.72,3.33,0.89022,1.23642,1.3578
3,13.7,12.6,,0.32,4.604,0.767,4.843,0.98773,1.28778,1.33812
4,13.8,13.6,,0.42,4.783,0.797,6.357,0.9995,1.25408,1.28757
5,13.9,14.5,,0.52,4.939,0.823,7.87,1.0,1.21507,1.23874
6,14.0,15.0,,0.62,5.023,0.837,9.384,1.0,1.19474,1.2104
7,14.1,16.1,,0.72,5.204,0.867,10.897,1.0,1.1534,1.1661
8,14.2,16.8,,0.82,5.316,0.886,12.411,1.0,1.12867,1.13911
9,14.3,17.6,,0.92,5.441,0.907,13.924,1.0,1.10254,1.11566
10,14.4,18.2,,1.02,5.533,0.922,15.438,1.0,1.0846,1.0889
11,14.5,19.1,,1.12,5.668,0.945,16.951,1.0,1.0582,1.07081
12,14.6,19.5,,1.22,5.727,0.955,18.465,1.0,1.04712,1.05732
13,14.7,20.2,,1.32,5.829,0.972,19.978,1.0,1.02881,1.04467
14,14.8,20.6,,1.42,5.887,0.981,21.492,1.0,1.01937,1.03082
15,14.9,20.9,,1.52,5.929,0.988,23.005,1.0,1.01215,1.01792
16,15.0,21.2,,1.62,5.972,0.995,24.519,1.0,1.00503,1.0098
17,15.1,21.3,,1.72,5.986,0.998,26.032,1.0,1.002,1.00407
18,15.2,21.4,,1.82,6.0,1.0,27.546,1.0,1.0,1.00028
19,15.3,21.4,,1.92,6.0,1.0,29.059,1.0,1.0,1.0
20,,,,,,,,,,1.0
21,,,,,,,,,,1.0
22,,,,,,,,,,1.0
