,y,P,y (cm) - actual,U (m/s),U/Uinf,eta,Ubratio,Kb,Interpolated K Values
0,13.5,2.4,0.02,2.009,0.327,0.191,0.06337,0.19379,0.1875
1,13.6,2.6,0.12,2.091,0.34,1.148,0.37627,1.10668,0.7638
2,13.7,8.5,0.22,3.781,0.615,2.105,0.65532,1.06556,1.19562
3,13.8,10.3,0.32,4.162,0.677,3.062,0.85431,1.26191,1.37483
4,13.9,11.6,0.42,4.417,0.718,4.019,0.95641,1.33205,1.3287
5,14.0,12.4,0.52,4.567,0.742,4.976,0.99092,1.33547,1.33964
6,14.1,13.0,0.62,4.676,0.76,5.933,0.99872,1.31411,1.30381
7,14.2,13.9,0.72,4.835,0.786,6.89,0.99986,1.27209,1.26848
8,14.3,14.8,0.82,4.989,0.811,7.847,1.0,1.23305,1.23929
9,14.4,15.3,0.92,5.073,0.825,8.804,1.0,1.21212,1.21825
10,14.5,16.0,1.02,5.188,0.843,9.761,1.0,1.18624,1.20529
11,14.6,16.5,1.12,5.268,0.856,10.718,1.0,1.16822,1.17239
12,14.7,17.3,1.22,5.394,0.877,11.675,1.0,1.14025,1.15062
13,14.8,17.6,1.32,5.441,0.884,12.632,1.0,1.13122,1.13673
14,14.9,18.3,1.42,5.548,0.902,13.589,1.0,1.10865,1.12367
15,15.0,18.8,1.52,5.623,0.914,14.546,1.0,1.09409,1.10078
16,15.1,19.1,1.62,5.668,0.921,15.503,1.0,1.08578,1.08805
17,15.2,19.7,1.72,5.756,0.936,16.46,1.0,1.06838,1.07654
18,15.3,19.9,1.82,5.786,0.94,17.417,1.0,1.06383,1.06636
19,15.4,20.5,1.92,5.872,0.955,18.374,1.0,1.04712,1.05791
20,15.5,20.7,2.02,5.901,0.959,19.331,1.0,1.04275,1.05166
21,15.6,21.2,2.12,5.972,0.971,20.288,1.0,1.02987,1.04127
22,15.7,21.4,2.22,6.0,0.975,21.244,1.0,1.02564,1.03282
23,15.8,21.6,2.32,6.028,0.98,22.201,1.0,1.02041,1.02478
24,15.9,22.0,2.42,6.083,0.989,23.158,1.0,1.01112,1.017
25,16.0,22.3,2.52,6.125,0.996,24.115,1.0,1.00402,1.01122
26,16.1,22.5,2.62,6.152,1.0,25.072,1.0,1.0,1.00792
27,16.2,22.5,2.72,6.152,1.0,26.029,1.0,1.0,1.00408
28,16.3,22.5,2.82,6.152,1.0,26.986,1.0,1.0,1.00122
29,,,,,,,,,1.0
30,,,,,,,,,1.0
