,y,P,y (cm) - actual,U (m/s),U/Uinf,eta,Ubratio,Kb,Interpolated K Values
0,13.4,4.1,0.02,2.626,0.437,0.265,0.08793,0.20121,0.24976
1,13.5,8.1,0.12,3.691,0.614,1.588,0.51197,0.83383,0.99119
2,13.6,10.5,0.22,4.203,0.699,2.911,0.82914,1.18618,1.38443
3,13.7,12.1,0.32,4.511,0.75,4.234,0.96673,1.28897,1.33116
4,13.8,13.1,0.42,4.694,0.781,5.557,0.99714,1.27675,1.31871
5,13.9,13.8,0.52,4.818,0.801,6.88,0.99985,1.24825,1.26884
6,14.0,14.9,0.62,5.006,0.832,8.203,1.0,1.20192,1.23066
7,14.1,15.7,0.72,5.139,0.854,9.526,1.0,1.17096,1.20848
8,14.2,16.0,0.82,5.188,0.863,10.849,1.0,1.15875,1.16778
9,14.3,17.1,0.92,5.363,0.892,12.172,1.0,1.12108,1.14178
10,14.4,17.4,1.02,5.41,0.9,13.495,1.0,1.11111,1.12592
11,14.5,18.2,1.12,5.533,0.92,14.818,1.0,1.08696,1.09694
12,14.6,18.8,1.22,5.623,0.935,16.141,1.0,1.06952,1.08026
13,14.7,19.5,1.32,5.727,0.952,17.464,1.0,1.05042,1.06591
14,14.8,20.1,1.42,5.815,0.967,18.786,1.0,1.03413,1.05522
15,14.9,20.5,1.52,5.872,0.976,20.109,1.0,1.02459,1.04323
16,15.0,20.9,1.62,5.929,0.986,21.432,1.0,1.0142,1.03131
17,15.1,21.0,1.72,5.943,0.988,22.755,1.0,1.01215,1.01993
18,15.2,21.1,1.82,5.958,0.991,24.078,1.0,1.00908,1.01144
19,15.3,21.5,1.92,6.014,1.0,25.401,1.0,1.0,1.00673
20,15.4,21.5,2.02,6.014,1.0,26.724,1.0,1.0,1.00166
21,,,,,,,,,1.0
22,,,,,,,,,1.0
