,y,P,y (cm) - actual,U (m/s),U/Uinf,eta,Ubratio,Kb,Interpolated K Values
0,13.4,2.5,0.02,2.051,0.338,0.239,0.0793,0.23462,0.23462
1,13.5,5.5,0.12,3.042,0.501,1.434,0.46608,0.9303,0.9303
2,13.6,6.7,0.22,3.357,0.553,2.628,0.77554,1.40242,1.40242
3,13.7,11.0,0.32,4.302,0.709,3.823,0.94046,1.32646,1.32646
4,13.8,12.0,0.42,4.493,0.74,5.017,0.99168,1.34011,1.34011
5,13.9,13.1,0.52,4.694,0.773,6.212,0.9993,1.29276,1.29276
6,14.0,14.0,0.62,4.853,0.8,7.407,0.99998,1.24997,1.24997
7,14.1,14.7,0.72,4.973,0.819,8.601,1.0,1.221,1.221
8,14.2,15.1,0.82,5.04,0.83,9.796,1.0,1.20482,1.20482
9,14.3,16.2,0.92,5.22,0.86,10.991,1.0,1.16279,1.16279
10,14.4,16.8,1.02,5.316,0.876,12.185,1.0,1.14155,1.14155
11,14.5,17.2,1.12,5.379,0.886,13.38,1.0,1.12867,1.12867
12,14.6,18.1,1.22,5.518,0.909,14.574,1.0,1.10011,1.10011
13,14.7,18.6,1.32,5.593,0.922,15.769,1.0,1.0846,1.0846
14,14.8,19.1,1.42,5.668,0.934,16.964,1.0,1.07066,1.07066
15,14.9,19.5,1.52,5.727,0.944,18.158,1.0,1.05932,1.05932
16,15.0,19.8,1.62,5.771,0.951,19.353,1.0,1.05152,1.05152
17,15.1,20.3,1.72,5.843,0.963,20.548,1.0,1.03842,1.03842
18,15.2,20.7,1.82,5.901,0.972,21.742,1.0,1.02881,1.02881
19,15.3,21.1,1.92,5.958,0.982,22.937,1.0,1.01833,1.01833
20,15.4,21.4,2.02,6.0,0.989,24.131,1.0,1.01112,1.01112
21,15.5,21.6,2.12,6.028,0.993,25.326,1.0,1.00705,1.00705
22,15.6,21.8,2.22,6.056,0.998,26.521,1.0,1.002,1.002
23,15.7,21.9,2.32,6.069,1.0,27.715,1.0,1.0,1.0
24,15.8,21.9,2.42,6.069,1.0,28.91,1.0,1.0,1.0
