,y,P,y (cm) - actual,U (m/s),U/Uinf,eta,Ubratio,Kb,Interpolated K Values
0,13.4,2.3,0.02,1.967,0.321,0.204,0.06769,0.21087,0.20026
1,13.5,2.6,0.12,2.091,0.341,1.223,0.39982,1.17249,0.80746
2,13.6,6.6,0.22,3.332,0.544,2.241,0.68836,1.26537,1.2494
3,13.7,9.4,0.32,3.976,0.649,3.26,0.88084,1.35723,1.36225
4,13.8,10.7,0.42,4.242,0.693,4.279,0.96889,1.39811,1.33167
5,13.9,12.1,0.52,4.511,0.737,5.298,0.99472,1.34969,1.32898
6,14.0,13.2,0.62,4.712,0.769,6.316,0.99944,1.29966,1.28904
7,14.1,14.1,0.72,4.87,0.795,7.335,0.99997,1.25782,1.25255
8,14.2,14.6,0.82,4.956,0.809,8.354,1.0,1.23609,1.22699
9,14.3,15.2,0.92,5.056,0.826,9.373,1.0,1.21065,1.21055
10,14.4,15.8,1.02,5.155,0.842,10.392,1.0,1.18765,1.18386
11,14.5,16.5,1.12,5.268,0.86,11.41,1.0,1.16279,1.15534
12,14.6,17.0,1.22,5.347,0.873,12.429,1.0,1.14548,1.13892
13,14.7,17.6,1.32,5.441,0.888,13.448,1.0,1.12613,1.12704
14,14.8,18.1,1.42,5.518,0.901,14.467,1.0,1.10988,1.10267
15,14.9,18.3,1.52,5.548,0.906,15.486,1.0,1.10375,1.08827
16,15.0,18.8,1.62,5.623,0.918,16.504,1.0,1.08932,1.07603
17,15.1,19.3,1.72,5.698,0.93,17.523,1.0,1.07527,1.06535
18,15.2,19.8,1.82,5.771,0.942,18.542,1.0,1.06157,1.05681
19,15.3,20.1,1.92,5.815,0.949,19.561,1.0,1.05374,1.04924
20,15.4,20.3,2.02,5.843,0.954,20.579,1.0,1.04822,1.03817
21,15.5,20.7,2.12,5.901,0.963,21.598,1.0,1.03842,1.02997
22,15.6,21.3,2.22,5.986,0.977,22.617,1.0,1.02354,1.02114
23,15.7,21.5,2.32,6.014,0.982,23.636,1.0,1.01833,1.01411
24,15.8,21.6,2.42,6.028,0.984,24.655,1.0,1.01626,1.00934
25,15.9,22.3,2.52,6.125,1.0,25.673,1.0,1.0,1.00558
26,16.0,22.3,2.62,6.125,1.0,26.692,1.0,1.0,1.00171
