,y,P,y (cm) - actual,U (m/s),U/Uinf,eta,Ubratio,Kb,Interpolated K Values
0,13.5,2.4,0.02,2.009,0.33,0.18,0.05972,0.18097,0.1767
1,13.6,2.7,0.12,2.131,0.35,1.078,0.35429,1.01226,0.72305
2,13.7,6.9,0.22,3.407,0.56,1.977,0.62322,1.11289,1.14501
3,13.8,10.0,0.32,4.101,0.674,2.875,0.82232,1.22006,1.38672
4,13.9,11.2,0.42,4.34,0.714,3.774,0.93629,1.31133,1.32957
5,14.0,11.8,0.52,4.455,0.732,4.672,0.98363,1.34376,1.33617
6,14.1,12.5,0.62,4.585,0.754,5.571,0.9972,1.32255,1.31816
7,14.2,13.4,0.72,4.748,0.78,6.469,0.99966,1.28162,1.28356
8,14.3,13.9,0.82,4.835,0.795,7.368,0.99997,1.25782,1.25137
9,14.4,14.7,0.92,4.973,0.817,8.266,1.0,1.22399,1.22913
10,14.5,15.5,1.02,5.106,0.839,9.165,1.0,1.1919,1.21336
11,14.6,15.9,1.12,5.172,0.85,10.064,1.0,1.17647,1.19539
12,14.7,16.3,1.22,5.236,0.861,10.962,1.0,1.16144,1.16381
13,14.8,16.7,1.32,5.3,0.871,11.861,1.0,1.14811,1.14731
14,14.9,17.2,1.42,5.379,0.884,12.759,1.0,1.13122,1.13536
15,15.0,18.0,1.52,5.503,0.905,13.658,1.0,1.10497,1.12202
16,15.1,18.7,1.62,5.608,0.922,14.556,1.0,1.0846,1.10054
17,15.2,19.2,1.72,5.683,0.934,15.455,1.0,1.07066,1.08868
18,15.3,19.5,1.82,5.727,0.942,16.353,1.0,1.06157,1.07779
19,15.4,20.1,1.92,5.815,0.956,17.252,1.0,1.04603,1.06792
20,15.5,20.3,2.02,5.843,0.961,18.15,1.0,1.04058,1.0594
21,15.6,20.6,2.12,5.887,0.968,19.049,1.0,1.03306,1.0535
22,15.7,20.8,2.22,5.915,0.972,19.947,1.0,1.02881,1.04501
23,15.8,21.0,2.32,5.943,0.977,20.846,1.0,1.02354,1.03602
24,15.9,21.2,2.42,5.972,0.982,21.744,1.0,1.01833,1.02879
25,16.0,21.7,2.52,6.042,0.993,22.643,1.0,1.00705,1.02091
26,16.1,21.9,2.62,6.069,0.998,23.541,1.0,1.002,1.01468
27,16.2,22.0,2.72,6.083,1.0,24.44,1.0,1.0,1.01007
28,16.3,22.0,2.82,6.083,1.0,25.339,1.0,1.0,1.007
29,16.4,22.0,2.92,6.083,1.0,26.237,1.0,1.0,1.0032
30,,,,,,,,,1.0
