P1 (absolute in Pa),P2 (absolute in Pa),Pressure Ratio (P1/P2),Torque (Nm),Actual Power (W),T1 (K),Ideal T2 (K),Ideal Power (W),Efficiency,SAC (kg/kW-hr)
131325,101325,1.296,0.02175,38.492,300.1,278.667,51.696,0.745,224.460
141325,101325,1.395,0.02784,49.270,299.8,272.612,71.042,0.694,189.973
151325,101325,1.493,0.03161,55.942,299.9,267.428,97.903,0.571,193.056
