P1 (gauge in Pa),P2 (gauge in Pa),N,mass flow rate (g/s),T1 (deg C),T2 (deg C),Load (N)
30,0,1520,1.2,27.1,26.3,1.71
30,0,4660,1.2,27.6,26.1,1.64
30,0,6630,1.2,27.4,26.2,1.57
