P1 (absolute in Pa),P2 (absolute in Pa),Pressure Ratio (P1/P2),Torque (Nm),Actual Power (W),T1 (K),Ideal T2 (K),Ideal Power (W),Efficiency,SAC (kg/kW-hr)
131325,101325,1.296,0.024795,3.947,300.1,278.667,25.848,0.153,1094.581
131325,101325,1.296,0.02378,11.604,300.6,279.131,25.891,0.448,372.270
131325,101325,1.296,0.022765,15.806,300.4,278.946,25.874,0.611,273.322
