P1 (gauge in Pa),P2 (gauge in Pa),N,mass flow rate (g/s),T1 (deg C),T2 (deg C),Load (N)
30,0,16900,2.4,27.1,24,1.5
30,0,19760,2.4,26.9,24.2,1.47
30,0,21000,2.4,26.8,24.3,1.43
