P1 (gauge in Pa),P2 (gauge in Pa),N,mass flow rate (g/s),T1 (deg C),T2 (deg C),Load (N)
30,0,6630,1.2,27.4,26.2,1.57
40,0,6630,1.2,27.6,25.4,1.8
50,0,6630,1.2,27.5,24.9,1.96
