P1 (absolute in Pa),P2 (absolute in Pa),Pressure Ratio (P1/P2),Torque (Nm),Actual Power (W),T1 (K),Ideal T2 (K),Ideal Power (W),Efficiency,SAC (kg/kW-hr)
131325,101325,1.296,0.02175,38.492,300.1,278.667,51.696,0.745,224.460
131325,101325,1.296,0.021315,44.1062899732,299.9,278.481,51.662,0.854,195.890
131325,101325,1.296,0.020735,45.598608055,299.8,278.389,51.644,0.883,189.479
