y,P
13.4,4.1
13.5,8.1
13.6,10.5
13.7,12.1
13.8,13.1
13.9,13.8
14.0,14.9
14.1,15.7
14.2,16.0
14.3,17.1
14.4,17.4
14.5,18.2
14.6,18.8
14.7,19.5
14.8,20.1
14.9,20.5
15,20.9
15.1,21
15.2,21.1
15.3,21.5
15.4,21.5
,
,
