y,P
13.4,
13.5,2.4
13.6,2.7
13.7,6.9
13.8,10
13.9,11.2
14.0,11.8
14.1,12.5
14.2,13.4
14.3,13.9
14.4,14.7
14.5,15.5
14.6,15.9
14.7,16.3
14.8,16.7
14.9,17.2
15,18
15.1,18.7
15.2,19.2
15.3,19.5
15.4,20.1
15.5,20.3
15.6,20.6
15.7,20.8
15.8,21
15.9,21.2
16,21.7
16.1,21.9
16.2,22
16.3,22
16.4,22
,
