y,P
13.4,2.3
13.5,3.2
13.6,7.3
13.7,10.9
13.8,11.8
13.9,12.8
14.0,13.6
14.1,14.2
14.2,14.7
14.3,15.5
14.4,16.4
14.5,16.8
14.6,17.4
14.7,18.0
14.8,18.5
14.9,19.2
15,19.7
15.1,19.9
15.2,20.3
15.3,20.6
15.4,20.9
15.5,21.2
15.6,21.5
15.7,21.7
15.8,21.8
15.9,22.1
16.0,22.1
16.1,22.1
,
,
,
,
,
,
