y,P
13.4,2.5
13.5,5.5
13.6,6.7
13.7,11
13.8,12
13.9,13.1
14.0,14
14.1,14.7
14.2,15.1
14.3,16.2
14.4,16.8
14.5,17.2
14.6,18.1
14.7,18.6
14.8,19.1
14.9,19.5
15,19.8
15.1,20.3
15.2,20.7
15.3,21.1
15.4,21.4
15.5,21.6
15.6,21.8
15.7,21.9
15.8,21.9
