y,P,
13.3,2.9,
13.4,7.8,
13.5,10.6,
13.6,12,
13.7,12.8,
13.8,14.4,
13.9,15.2,
14.0,15.9,
14.1,16.9,
14.2,17.6,
14.3,19,
14.4,19.6,
14.5,20.2,
14.6,20.8,
14.7,21.1,
14.8,21.2,
14.9,21.3,
15,21.3,
,,
,,
,,
,,
,,
,,
,,
