y,P
13.4,
13.5,2.4
13.6,2.6
13.7,8.5
13.8,10.3
13.9,11.6
14.0,12.4
14.1,13.0
14.2,13.9
14.3,14.8
14.4,15.3
14.5,16.0
14.6,16.5
14.7,17.3
14.8,17.6
14.9,18.3
15,18.8
15.1,19.1
15.2,19.7
15.3,19.9
15.4,20.5
15.5,20.7
15.6,21.2
15.7,21.4
15.8,21.6
15.9,22
16,22.3
16.1,22.5
16.2,22.5
16.3,22.5
,
,
